2B,AER,2990,,0,CR2
2B,ASF,2990,,0,CR2
2B,ASF,2962,,0,CR2
2B,CEK,2990,,0,CR2
2B,CEK,4078,,0,CR2
2B,DME,2990,,0,CR2
2B,DME,6969,,0,CR2
2B,DME,\N,,0,CR2
2B,DME,6160,,0,CR2
2B,EGO,2952,,0,CR2
2B,EGO,2990,,0,CR2
2B,GYD,6969,,0,CR2
2B,KGD,6156,,0,CR2
2B,KZN,2965,,0,CR2
2B,KZN,2966,,0,CR2
2B,KZN,2968,,0,CR2
2B,KZN,4029,,0,CR2
2B,KZN,6156,,0,CR2
2B,KZN,2948,,0,CR2
2B,KZN,2975,,0,CR2
2B,LED,2990,,0,CR2
2B,LED,6969,,0,CR2
2B,LED,6160,,0,CR2
2B,MRV,2966,,0,CR2
2B,NBC,4029,,0,CR2
2B,NBC,2922,,0,CR2
2B,NBC,2948,,0,CR2
2B,NBC,2975,,0,CR2
2B,NJC,2975,,0,CR2
2B,NJC,6160,,0,CR2
2B,NUX,2975,,0,CR2
2B,OVB,2968,,0,CR2
2B,OVB,2975,,0,CR2
2B,SVX,2990,,0,CR2
2B,SVX,6969,,0,CR2
2B,SVX,2972,,0,CR2
2B,SVX,4364,,0,CR2
2B,SVX,4078,,0,CR2
2B,TGK,4029,,0,CR2
2B,UUA,4029,,0,CR2
2B,UUA,2948,,0,CR2
2B,UUA,2972,,0,CR2
2G,BTK,2937,,0,A81
2G,BTK,4078,,0,A81
2G,CEK,4078,,0,A81
2G,HTA,2937,,0,AN4
2G,IKT,2936,,0,A81
2G,IKT,2935,,0,AN4
2G,IKT,\N,,0,AN4
2G,IKT,8944,,0,AN4
2G,IKT,4078,,0,A81
2G,IKT,6924,,0,AN4
2G,IKT,9026,,0,AN4
2G,IKT,2923,,0,A81
2G,KCK,2937,,0,AN4
2G,MJZ,4078,,0,A81
2G,ODO,2937,,0,AN4
2G,OVB,2936,,0,A81
2G,OVB,2968,,0,A81
2G,OVB,2937,,0,A81
2G,UKX,2937,,0,AN4
2G,ULK,2937,,0,AN4
2G,YKS,2937,,0,A81
2I,AYP,2789,,0,142
8359,2812,2789,,0,141
8359,2812,2789,,0,142
2I,CUZ,2808,,0,142
2I,HUU,2789,,0,141
2I,IQT,2781,,0,143
2I,IQT,2806,,0,142
2I,LIM,2786,,0,142
8359,2789,2812,,0,141
8359,2789,2812,,0,142
2I,LIM,6067,,0,141
8359,2789,2781,,0,146
8359,2789,2781,,0,143
8359,2789,2806,,0,146
8359,2789,2806,,0,142
2I,PCL,2801,,0,143
8359,2781,2789,,0,146
8359,2781,2789,,0,143
2I,PCL,2806,,0,146
2I,PEM,2812,,0,142
2I,TPP,2801,,0,142
8359,2806,2789,,0,146
8359,2806,2789,,0,142
2I,TPP,2781,,0,146
2J,ABJ,247,,0,CRJ
470,253,246,,0,M87
470,253,246,,0,CRJ
470,253,246,,0,E70
2J,ACC,246,,0,CRJ
2J,BKO,253,,0,M87
2J,BKO,1084,,0,M87
2J,BKO,246,,0,CRJ
2J,BOY,253,,0,CRJ
2J,BOY,246,,0,CRJ
2J,COO,298,,0,M87
2J,COO,246,,0,M87
2J,DKR,1044,,0,M87
2J,DKR,246,,0,M87
470,298,246,,0,CRJ
470,298,246,,0,M87
2J,NIM,246,,0,CRJ
470,246,253,,0,M87
470,246,253,,0,CRJ
470,246,253,,0,E70
2J,OUA,248,,0,CRJ
470,246,1044,,0,CRJ
470,246,1044,,0,M87
2J,OUA,247,,0,CRJ
2J,OUA,245,,0,M87
2J,OUA,1084,,0,M87
2J,OUA,298,,0,CRJ
2J,OUA,280,,0,CRJ
2K,BOG,2673,,0,319
1338,2709,2688,,0,320
1338,2709,2688,,0,319
2K,CLO,2673,,0,319
2K,GYE,2709,,0,319
2K,GYE,2715,,0,319
1338,2673,6045,,0,320
1338,2673,6045,,0,319
1338,2673,2688,,0,319
1338,2673,2688,,0,320
2K,OCC,2688,,0,319
1338,6045,2673,,0,320
1338,6045,2673,,0,319
1338,2688,2709,,0,320
1338,2688,2709,,0,319
2K,UIO,2673,,0,319
2K,UIO,2670,,0,319
2L,BDS,1678,,0,100
2L,BOD,1678,,0,100
2L,BRS,1678,,0,100
2L,GVA,1054,,0,319
2L,LCA,1678,,0,319
2L,LPA,1678,,0,319
2L,RMF,1678,,0,319
2L,TFS,1665,,0,319
2L,ZRH,1506,,0,100
2L,ZRH,1264,,0,100
2L,ZRH,490,,0,100
2L,ZRH,1197,,0,319
2L,ZRH,1054,,0,319
2L,ZRH,4197,,0,319
2N,AJR,719,,0,ATP
2N,ARN,715,,0,ATP
2N,ARN,709,,0,SF3
3652,737,688,,0,SF3
3652,737,688,,0,ATP
2N,ARN,718,,0,ATP
2N,ARN,5595,,0,SF3
2N,ARN,719,,0,ATP
2N,ARN,442,,0,SF3
2N,ARN,722,,0,ATR
2N,ARN,448,,0,SF3
2N,ARN,664,,0,SF3
3652,737,746,,0,ATP
3652,737,746,,0,SF3
2N,ARN,729,,0,SF3
2N,ARN,711,,0,SF3
2N,GEV,737,,0,ATP
2N,GEV,718,,0,ATP
3652,709,737,,0,ATP
3652,709,737,,0,SF3
3652,709,688,,0,SF3
3652,709,688,,0,ATP
2N,HAD,711,,0,SF3
2N,HMV,729,,0,SF3
3652,688,737,,0,SF3
3652,688,737,,0,ATP
3652,688,709,,0,SF3
3652,688,709,,0,ATP
2N,KOK,448,,0,SF3
2N,KRF,737,,0,ATP
2N,KRF,715,,0,ATP
2N,KSD,737,,0,SF3
2N,LYC,730,,0,ATP
2N,LYC,737,,0,ATP
2N,MHQ,737,,0,SF3
2N,MHQ,460,,0,SF3
2N,OER,737,,0,ATR
2N,OSL,711,,0,SF3
2N,POR,737,,0,SF3
2N,POR,435,,0,SF3
2N,TKU,442,,0,SF3
2N,TRF,737,,0,SF3
3652,746,737,,0,ATP
3652,746,737,,0,SF3
2N,VHM,737,,0,SF3
2N,VHM,5599,,0,SF3
2N,VXO,737,,0,SF3
2N,VXO,644,,0,SF3
2O,ADQ,7167,,0,BNI
2O,ADQ,7168,,0,BNI
2O,ADQ,7162,,0,BNI
2O,ADQ,7164,,0,BNI
2O,ADQ,7163,,0,BNI
2O,AOS,7176,,0,BNI
2O,KKB,7173,,0,BNI
2O,KLN,7161,,0,BNI
2O,KOZ,7165,,0,BNI
2O,SYB,7172,,0,BNI
2P,BSO,2397,,0,DH4
2P,BXU,2397,,0,320
2P,CBO,2397,,0,320
2P,CGY,2397,,0,320
2P,CRM,2397,,0,DH4
2P,DGT,2397,,0,320
2P,DWC,2397,,0,330
2P,GES,2397,Y,0,320
2P,KLO,2397,,0,320
2P,LGP,2397,,0,320
2P,MNL,6019,,0,DH4
2P,MNL,4200,,0,320
2P,MNL,2399,,0,320
2P,MNL,2400,,0,320
2P,MNL,6024,,0,DH4
2P,MNL,2425,,0,320
2P,MNL,8076,,0,330
2P,MNL,6011,Y,0,320
2P,MNL,2430,,0,320
2P,MNL,4203,,0,320
2P,MNL,4002,,0,DH3
2P,MNL,4204,,0,320
2P,MNL,2433,,0,320
2P,MNL,6026,,0,320
2P,MNL,6016,,0,DH4
2P,MNL,6021,,0,DH4
2P,MNL,2404,,0,320
2P,MPH,2397,,0,DH3
2P,OZC,2397,,0,320
2P,PPS,2397,,0,320
2P,RXS,2397,,0,320
